Scenario,Distribution,Target_Skewness,Target_ExcessKurtosis,Achieved_Skewness,Achieved_ExcessKurtosis,Lambda,L,Method,Shift_Size,ARL1,SDRL1,MRL1
Skewness,Skew-Normal,0.5,NA,0.516665331,0.363852907,0.3,2.9286,EWMA,1,11.8778,10.86964958,9
Skewness,Skew-Normal,0.5,NA,0.464908547,0.293798823,0.3,2.9286,WV,1,10.89,9.929670681,8
Skewness,Skew-Normal,0.5,NA,0.491837508,0.324709143,0.3,2.9286,WSD,1,9.691,8.7671321,7
Skewness,Skew-Normal,0.5,NA,0.506126399,0.314102477,0.3,2.9286,SC,1,24.5465,34.7811761,15
Skewness,Skew-Normal,0.5,NA,0.482301825,0.264975677,0.1,2.6952,EWMA,1.5,5.8757,2.300343163,5
Skewness,Skew-Normal,0.5,NA,0.520185429,0.399452402,0.1,2.6952,WV,1.5,5.6048,2.205788637,5
Skewness,Skew-Normal,0.5,NA,0.528037831,0.344731675,0.1,2.6952,WSD,1.5,5.2459,2.030085051,5
Skewness,Skew-Normal,0.5,NA,0.493509227,0.317594532,0.1,2.6952,SC,1.5,7.6078,3.038667884,7
Skewness,Skew-Normal,0.5,NA,0.530146304,0.463564287,0.2,2.8537,EWMA,1.5,5.3942,2.702949677,5
Skewness,Skew-Normal,0.5,NA,0.490740785,0.309780116,0.2,2.8537,WV,1.5,5.0486,2.516519685,5
Skewness,Skew-Normal,0.5,NA,0.521579321,0.355210406,0.2,2.8537,WSD,1.5,4.8108,2.381841867,4
Skewness,Skew-Normal,0.5,NA,0.478156788,0.263685967,0.2,2.8537,SC,1.5,7.3742,4.137425067,6
Skewness,Skew-Normal,0.5,NA,0.506899006,0.393636891,0.3,2.9286,EWMA,1.5,5.4535,3.490480783,5
Skewness,Skew-Normal,0.5,NA,0.516060963,0.363097214,0.3,2.9286,WV,1.5,5.1155,3.208237683,4
Skewness,Skew-Normal,0.5,NA,0.528957862,0.479554323,0.3,2.9286,WSD,1.5,4.7717,2.901727264,4
Skewness,Skew-Normal,0.5,NA,0.515496718,0.352047341,0.3,2.9286,SC,1.5,8.77,6.917375587,7
Skewness,Skew-Normal,1,NA,0.976691293,0.77306229,0.1,2.6952,EWMA,0.25,104.2281,185.7653276,49
Skewness,Skew-Normal,1,NA,1.00289928,0.853807333,0.1,2.6952,WV,0.25,76.9908,122.8115735,40
Skewness,Skew-Normal,1,NA,1.013396074,0.996308423,0.1,2.6952,WSD,0.25,63.4812,112.18025,33
Skewness,Skew-Normal,1,NA,0.971756602,0.799472642,0.1,2.6952,SC,0.25,297.9434,387.1557952,153
Skewness,Skew-Normal,1,NA,1.012741152,0.950501235,0.2,2.8537,EWMA,0.25,105.6906,178.2196103,49
Skewness,Skew-Normal,1,NA,0.990074036,0.849052938,0.2,2.8537,WV,0.25,73.0495,122.1618795,38
Skewness,Skew-Normal,1,NA,1.000602037,0.868009254,0.2,2.8537,WSD,0.25,52.697,79.10533583,29
Skewness,Skew-Normal,1,NA,1.001393661,0.889848308,0.2,2.8537,SC,0.25,369.2115,467.7534396,187
Skewness,Skew-Normal,1,NA,0.978867549,0.811855318,0.3,2.9286,EWMA,0.25,96.6008,157.3122003,48
