"Scenario","Distribution","Target_Skewness","Target_ExcessKurtosis","Achieved_Skewness","Achieved_ExcessKurtosis","Lambda","L","Method","Shift_Size","ARL1","SDRL1","MRL1"
"Kurtosis","Skew-Student-t",0.5,2,0.62283303898593,7.42564032695164,0.1,2.6952,"WSD",1,9.0536,5.00953456756797,8
"Kurtosis","Skew-Student-t",0.5,2,0.397258022147056,4.24639440231943,0.1,2.6952,"SC",1,12.537,7.2848018390196,11
"Kurtosis","Skew-Student-t",0.5,2,0.316770175814353,3.79090965584184,0.2,2.8537,"EWMA",1,9.9627,7.78542034748277,8
"Kurtosis","Skew-Student-t",0.5,2,1.64655895917535,42.8244292725475,0.2,2.8537,"WV",1,9.6597,7.41946094740548,8
"Kurtosis","Skew-Student-t",0.5,2,0.415059718426193,3.53161526987457,0.2,2.8537,"WSD",1,9.2894,7.36238195876923,7
"Kurtosis","Skew-Student-t",0.5,2,0.275927976947301,3.1871921632738,0.2,2.8537,"SC",1,13.4782,11.8304066122877,10
"Kurtosis","Skew-Student-t",0.5,2,0.460703076729041,3.48243818005958,0.3,2.9286,"EWMA",1,11.9634,11.9745646877014,9
"Kurtosis","Skew-Student-t",0.5,2,0.393578624414222,4.33610585500939,0.3,2.9286,"WV",1,11.1808,10.6299017324284,8
"Kurtosis","Skew-Student-t",0.5,2,0.508979697284921,3.57532966945508,0.3,2.9286,"WSD",1,10.4622,9.31983138719304,8
"Kurtosis","Skew-Student-t",0.5,2,0.454787532265029,3.19232848583929,0.3,2.9286,"SC",1,22.3214,28.2564991641658,14
"Kurtosis","Skew-Student-t",0.5,2,0.443949034950459,3.41056789404605,0.1,2.6952,"EWMA",1.5,5.5707,2.18418831098827,5
"Kurtosis","Skew-Student-t",0.5,2,0.628411672865958,8.88708707437113,0.1,2.6952,"WV",1.5,5.4555,2.17308351868904,5
"Kurtosis","Skew-Student-t",0.5,2,0.58392872144898,6.36174812842829,0.1,2.6952,"WSD",1.5,5.303,2.06480443183711,5
"Kurtosis","Skew-Student-t",0.5,2,0.567148999888919,4.68247046002843,0.1,2.6952,"SC",1.5,7.4115,2.90654649906984,7
"Kurtosis","Skew-Student-t",0.5,2,0.545928034038792,4.804013755214,0.2,2.8537,"EWMA",1.5,5.0681,2.52830014439782,5
"Kurtosis","Skew-Student-t",0.5,2,1.20922490755539,21.7097078255665,0.2,2.8537,"WV",1.5,4.9069,2.50452783094251,4
"Kurtosis","Skew-Student-t",0.5,2,0.494205540283388,4.35951929034456,0.2,2.8537,"WSD",1.5,4.7325,2.34091685866327,4
"Kurtosis","Skew-Student-t",0.5,2,0.487533036930382,3.45022157879869,0.2,2.8537,"SC",1.5,6.9977,3.94548493789287,6
"Kurtosis","Skew-Student-t",0.5,2,0.564196921551958,3.52743193366659,0.3,2.9286,"EWMA",1.5,5.1515,3.27747188122083,4
"Kurtosis","Skew-Student-t",0.5,2,0.396439979137096,3.70689113531563,0.3,2.9286,"WV",1.5,4.994,3.04901519336407,4
"Kurtosis","Skew-Student-t",0.5,2,0.494920192487527,3.58758991202421,0.3,2.9286,"WSD",1.5,4.9164,3.04669317029585,4
"Kurtosis","Skew-Student-t",0.5,2,0.456111898642074,3.44474852404744,0.3,2.9286,"SC",1.5,7.6873,6.15110578028309,6
"Kurtosis","Skew-Student-t",0.5,4,0.443800352423872,3.93420528024992,0.1,2.6952,"EWMA",0.25,97.9064,153.643984869075,51
"Kurtosis","Skew-Student-t",0.5,4,0.464062224233949,5.27325016535722,0.1,2.6952,"WV",0.25,91.865,144.087264839711,48
"Kurtosis","Skew-Student-t",0.5,4,0.350581327778187,3.64876478693533,0.1,2.6952,"WSD",0.25,86.8884,139.142519775664,45
"Kurtosis","Skew-Student-t",0.5,4,0.470029792170138,5.04304583081612,0.1,2.6952,"SC",0.25,172.2478,235.022686057019,92
"Kurtosis","Skew-Student-t",0.5,4,0.443872007978236,3.87228871547196,0.2,2.8537,"EWMA",0.25,96.2188,137.911298591478,53
"Kurtosis","Skew-Student-t",0.5,4,0.402428586918758,3.8130010910758,0.2,2.8537,"WV",0.25,91.3587,129.648101017021,50
"Kurtosis","Skew-Student-t",0.5,4,0.361409421078552,4.17754472788536,0.2,2.8537,"WSD",0.25,88.3343,123.641631616608,49
"Kurtosis","Skew-Student-t",0.5,4,0.349825336129046,2.86315339439061,0.2,2.8537,"SC",0.25,147.2967,196.358416503809,82
"Kurtosis","Skew-Student-t",0.5,4,0.465119715949639,4.37954891748326,0.3,2.9286,"EWMA",0.25,91.0584,123.863699327289,52
"Kurtosis","Skew-Student-t",0.5,4,0.390194610770304,4.25436999246228,0.3,2.9286,"WV",0.25,84.3744,113.260712621554,48
"Kurtosis","Skew-Student-t",0.5,4,0.39916824457558,3.31255301248062,0.3,2.9286,"WSD",0.25,77.6907,100.63477813046,46
"Kurtosis","Skew-Student-t",0.5,4,0.0724538929366289,4.25258732352547,0.3,2.9286,"SC",0.25,99.2606,136.427910432999,56
"Kurtosis","Skew-Student-t",0.5,4,0.483203962064106,4.88516717716307,0.1,2.6952,"EWMA",0.5,31.189,40.043104575225,21
"Kurtosis","Skew-Student-t",0.5,4,0.406848067310564,5.12739605040391,0.1,2.6952,"WV",0.5,30.4794,44.390889051055,20
"Kurtosis","Skew-Student-t",0.5,4,0.531242176669151,5.10867494525678,0.1,2.6952,"WSD",0.5,28.6579,34.2193127301875,19
"Kurtosis","Skew-Student-t",0.5,4,0.333158139884859,5.15918307446452,0.1,2.6952,"SC",0.5,48.5354,73.3806310857426,29
"Kurtosis","Skew-Student-t",0.5,4,0.517865431478162,5.78380857656762,0.2,2.8537,"EWMA",0.5,38.2659,51.8744261924822,23
"Kurtosis","Skew-Student-t",0.5,4,0.469767665713524,4.6433076080755,0.2,2.8537,"WV",0.5,36.5221,48.2964902108494,22
"Kurtosis","Skew-Student-t",0.5,4,0.247505673938726,3.55665355241041,0.2,2.8537,"WSD",0.5,33.6957,47.1302411140952,20.5
"Kurtosis","Skew-Student-t",0.5,4,0.273434761602031,3.4422288227825,0.2,2.8537,"SC",0.5,60.3555,93.2965098148069,33
"Kurtosis","Skew-Student-t",0.5,4,0.53990302961703,6.13265483137974,0.3,2.9286,"EWMA",0.5,43.7776,65.0851315253689,25
"Kurtosis","Skew-Student-t",0.5,4,0.495347101209472,3.67179700036918,0.3,2.9286,"WV",0.5,40.3416,56.7113862251026,24
"Kurtosis","Skew-Student-t",0.5,4,0.332854060849908,7.4131897920883,0.3,2.9286,"WSD",0.5,37.0081,48.3892321303884,22
"Kurtosis","Skew-Student-t",0.5,4,0.70943148937452,6.60194839263922,0.3,2.9286,"SC",0.5,114.9497,156.370321153484,64
"Kurtosis","Skew-Student-t",0.5,4,0.56360607054282,6.55117588324978,0.1,2.6952,"EWMA",0.75,14.812,11.7980326901368,12
"Kurtosis","Skew-Student-t",0.5,4,0.483400000139238,6.0131905007348,0.1,2.6952,"WV",0.75,14.3866,11.2104463716118,12
"Kurtosis","Skew-Student-t",0.5,4,0.394894744415558,4.41174469035004,0.1,2.6952,"WSD",0.75,13.9005,10.6476258829701,11
"Kurtosis","Skew-Student-t",0.5,4,0.440719467823335,3.43624396007702,0.1,2.6952,"SC",0.75,22.9499,28.0134979179066,17
"Kurtosis","Skew-Student-t",0.5,4,0.284296993427992,3.61358269829262,0.2,2.8537,"EWMA",0.75,17.4891,20.3785575974104,12
"Kurtosis","Skew-Student-t",0.5,4,0.403820557013835,4.10632532903895,0.2,2.8537,"WV",0.75,16.3662,17.7371350041605,11
"Kurtosis","Skew-Student-t",0.5,4,0.370296938001357,4.26380376398285,0.2,2.8537,"WSD",0.75,16.0914,16.8683816731193,11
"Kurtosis","Skew-Student-t",0.5,4,1.81686991747284,31.7411148158292,0.2,2.8537,"SC",0.75,92.942,143.302792034979,46
"Kurtosis","Skew-Student-t",0.5,4,0.47453123018979,4.54600226160893,0.3,2.9286,"EWMA",0.75,21.2459,32.5155464242249,13
"Kurtosis","Skew-Student-t",0.5,4,0.112108172165744,8.44715766863281,0.3,2.9286,"WV",0.75,19.739,27.1149848098819,13
"Kurtosis","Skew-Student-t",0.5,4,0.584381140220966,6.78948225154963,0.3,2.9286,"WSD",0.75,18.5772,22.3310211949826,12
"Kurtosis","Skew-Student-t",0.5,4,0.202775158720838,3.83823546583813,0.3,2.9286,"SC",0.75,30.2398,40.3150620287584,18
"Kurtosis","Skew-Student-t",0.5,4,0.56316819771472,4.54088422424271,0.1,2.6952,"EWMA",1,9.6082,5.44119963108711,8
"Kurtosis","Skew-Student-t",0.5,4,0.341470787368036,3.97993012010048,0.1,2.6952,"WV",1,9.2716,5.03147741886035,8
"Kurtosis","Skew-Student-t",0.5,4,1.10729447397064,20.6660933449111,0.1,2.6952,"WSD",1,8.9577,4.9674720218466,8
"Kurtosis","Skew-Student-t",0.5,4,0.413151697685913,3.45952519625667,0.1,2.6952,"SC",1,12.6578,8.62657179498863,11
"Kurtosis","Skew-Student-t",0.5,4,0.432806014495392,3.9975230324542,0.2,2.8537,"EWMA",1,9.8803,7.84296647463906,8
"Kurtosis","Skew-Student-t",0.5,4,0.518957615155103,4.32181953799467,0.2,2.8537,"WV",1,9.4572,7.01380691983682,8
"Kurtosis","Skew-Student-t",0.5,4,0.409657535021863,3.78163655468856,0.2,2.8537,"WSD",1,9.1234,6.72528775514765,7
"Kurtosis","Skew-Student-t",0.5,4,0.692677112788131,7.51864980055229,0.2,2.8537,"SC",1,20.3795,24.985029616162,14
"Kurtosis","Skew-Student-t",0.5,4,0.445026193398722,3.97221502648088,0.3,2.9286,"EWMA",1,11.5532,11.586258839651,8
"Kurtosis","Skew-Student-t",0.5,4,0.500751632513257,4.23874921455085,0.3,2.9286,"WV",1,10.7943,10.2422984714271,8
"Kurtosis","Skew-Student-t",0.5,4,0.786834863611224,8.25846710749035,0.3,2.9286,"WSD",1,10.519,10.2229393937842,8
"Kurtosis","Skew-Student-t",0.5,4,0.425176066859827,5.19077139402068,0.3,2.9286,"SC",1,20.4974,26.3161974355101,13
"Kurtosis","Skew-Student-t",0.5,4,0.69451066241138,7.87366643075734,0.1,2.6952,"EWMA",1.5,5.5398,2.17423289664858,5
"Kurtosis","Skew-Student-t",0.5,4,0.530697073630444,3.73560101352729,0.1,2.6952,"WV",1.5,5.4004,2.08928608659397,5
"Kurtosis","Skew-Student-t",0.5,4,0.564543599111129,6.44205757874518,0.1,2.6952,"WSD",1.5,5.3229,2.06641297814828,5
"Kurtosis","Skew-Student-t",0.5,4,0.585291469890562,5.63681907276005,0.1,2.6952,"SC",1.5,7.3982,2.91157766313194,7
"Kurtosis","Skew-Student-t",0.5,4,0.443215939331579,5.81079135500478,0.2,2.8537,"EWMA",1.5,5.0731,2.52982141457435,5
"Kurtosis","Skew-Student-t",0.5,4,0.522609286914602,5.29948406818068,0.2,2.8537,"WV",1.5,4.9465,2.48303328520371,4
"Kurtosis","Skew-Student-t",0.5,4,0.540934203328956,4.20894233584585,0.2,2.8537,"WSD",1.5,4.7322,2.2994807938298,4
"Kurtosis","Skew-Student-t",0.5,4,0.593328269313077,4.96618470578052,0.2,2.8537,"SC",1.5,7.353,4.25323406362735,6
"Kurtosis","Skew-Student-t",0.5,4,0.458430172428393,4.74732677992211,0.3,2.9286,"EWMA",1.5,5.1382,3.31960882338176,4
"Kurtosis","Skew-Student-t",0.5,4,0.425047181186284,3.86009916075861,0.3,2.9286,"WV",1.5,4.9169,3.09892799617425,4
"Kurtosis","Skew-Student-t",0.5,4,0.686819829862383,7.77679906781086,0.3,2.9286,"WSD",1.5,4.8284,3.00407321575033,4
"Kurtosis","Skew-Student-t",0.5,4,0.771524898463859,9.20763642774635,0.3,2.9286,"SC",1.5,9.9358,9.50729810365296,7
"Kurtosis","Skew-Student-t",0.5,6,0.475991613066299,5.30407478936888,0.1,2.6952,"EWMA",0.25,92.842,150.470381037455,48
"Kurtosis","Skew-Student-t",0.5,6,0.686410738461783,9.63432210568829,0.1,2.6952,"WV",0.25,85.1566,127.216567639393,47
"Kurtosis","Skew-Student-t",0.5,6,0.0728394993422902,13.4067103386976,0.1,2.6952,"WSD",0.25,81.9429,124.625113767202,45
"Kurtosis","Skew-Student-t",0.5,6,0.317465973683631,5.29005325960678,0.1,2.6952,"SC",0.25,141.0587,208.196511577532,74
"Kurtosis","Skew-Student-t",0.5,6,0.282832675065682,5.93336963243545,0.2,2.8537,"EWMA",0.25,89.9829,126.738397771697,50
"Kurtosis","Skew-Student-t",0.5,6,0.644910978102,7.32682776295709,0.2,2.8537,"WV",0.25,86.0437,121.293205887591,47
"Kurtosis","Skew-Student-t",0.5,6,0.255756116311549,3.54078854896895,0.2,2.8537,"WSD",0.25,83.3046,115.895205201505,46
"Kurtosis","Skew-Student-t",0.5,6,0.387754211783316,6.03077527041771,0.2,2.8537,"SC",0.25,141.7707,183.444683533488,80
"Kurtosis","Skew-Student-t",0.5,6,0.444051568158428,4.8970311938172,0.3,2.9286,"EWMA",0.25,84.4386,112.55845757062,48
"Kurtosis","Skew-Student-t",0.5,6,0.340188418910666,4.42957544666967,0.3,2.9286,"WV",0.25,81.3757,105.149322334995,48
"Kurtosis","Skew-Student-t",0.5,6,0.390363845092791,3.4180808704347,0.3,2.9286,"WSD",0.25,76.2401,106.796631988328,44
"Kurtosis","Skew-Student-t",0.5,6,0.422091895269252,3.74422423824568,0.3,2.9286,"SC",0.25,126.1474,156.818286149056,76
"Kurtosis","Skew-Student-t",0.5,6,0.516176606306261,5.73788763460712,0.1,2.6952,"EWMA",0.5,28.5199,39.1526180062033,19
"Kurtosis","Skew-Student-t",0.5,6,0.512119033362236,7.35112421765769,0.1,2.6952,"WV",0.5,27.0721,33.713803755233,19
"Kurtosis","Skew-Student-t",0.5,6,0.585641838659711,8.97596309734231,0.1,2.6952,"WSD",0.5,25.8915,31.8337787059072,18
"Kurtosis","Skew-Student-t",0.5,6,0.193598963618911,7.40095429793516,0.1,2.6952,"SC",0.5,37.1127,49.3366355669994,24
"Kurtosis","Skew-Student-t",0.5,6,0.586276497121187,5.66993865920566,0.2,2.8537,"EWMA",0.5,35.8971,57.0308720223211,21
